buySell,clientName,date,name,qty,remarks,symbol,watp
BUY,HERO MOTOCORP LIMITED,28-Aug-2026,Ather Energy Limited,11880000,,ATHERENERG,1480
BUY,AART CORPORATE ADVISORS PRIVATE LIMITED,28-Aug-2026,Genus Power Infrastru Ltd,1386750,,GENUSPOWER,324.5
BUY,HSBC MUTUAL FUND,28-Aug-2026,Genus Power Infrastru Ltd,2191700,,GENUSPOWER,324.5
BUY,COPTHALL MAURITIUS INVESTMENT LIMITED,28-Aug-2026,Lenskart Solutions Ltd,401901,,LENSKART,630
BUY,GOLDMAN SACHS BANK EUROPE SE,28-Aug-2026,Lenskart Solutions Ltd,985791,,LENSKART,630
BUY,HDFC STANDARD LIFE INSURANCE COMPANY LTD,28-Aug-2026,Lenskart Solutions Ltd,1269838,,LENSKART,630
BUY,ICICI PRUDENTIAL LIFE INSURANCE COMPANY LIMITED,28-Aug-2026,Lenskart Solutions Ltd,1428569,,LENSKART,630
BUY,ICICI PRUDENTIAL MUTUAL FUND,28-Aug-2026,Lenskart Solutions Ltd,6031747,,LENSKART,630
BUY,INTEGRATED CORE STRATEGIES (ASIA) PTE.LTD.,28-Aug-2026,Lenskart Solutions Ltd,758301,,LENSKART,630
BUY,JIGNESH VIJAY SHAH,28-Aug-2026,Lenskart Solutions Ltd,396827,,LENSKART,630
BUY,MORGAN STANLEY ASIA SINGAPORE PTE,28-Aug-2026,Lenskart Solutions Ltd,492896,,LENSKART,630
BUY,MORGAN STANLEY ASIA SINGAPORE PTE,28-Aug-2026,Lenskart Solutions Ltd,606641,,LENSKART,630
BUY,SBI MUTUAL FUND,28-Aug-2026,Lenskart Solutions Ltd,555556,,LENSKART,630
BUY,SOCIETE GENERALE,28-Aug-2026,Lenskart Solutions Ltd,397352,,LENSKART,630
BUY,SUSQUEHANNA PACIFIC PTY LTD,28-Aug-2026,Lenskart Solutions Ltd,401903,,LENSKART,630
BUY,VIRIDIAN ASIA OPPORTUNITIES MASTER FUND,28-Aug-2026,Lenskart Solutions Ltd,606639,,LENSKART,630
BUY,BOFA SECURITIES EUROPE SA,28-Aug-2026,Lenskart Solutions Ltd,606642,,LENSKART,630
BUY,TM REDWHEEL GLOBAL EMERGING MARKETS FUND,28-Aug-2026,Lenskart Solutions Ltd,87123,,LENSKART,630
BUY,TEACHERS RETIREMENT SYSTEM OF THE STATE OF ILLINOIS,28-Aug-2026,Lenskart Solutions Ltd,56018,,LENSKART,630
BUY,WHITEOAK CAPITAL MUTUAL FUND,28-Aug-2026,Lenskart Solutions Ltd,1587301,,LENSKART,630
BUY,RETAIL EMPLOYEES SUPERANNUATION TRUST,28-Aug-2026,Lenskart Solutions Ltd,313295,,LENSKART,630
BUY,REDWHEEL GLOBAL EMERGING EQUITY FUND,28-Aug-2026,Lenskart Solutions Ltd,85731,,LENSKART,630
BUY,REDWHEEL FUNDS-REDWHEEL GLOBAL EMERGING MARKETS FUND,28-Aug-2026,Lenskart Solutions Ltd,343376,,LENSKART,630
BUY,BAJAJ LIFE INSURANCE LIMITED,28-Aug-2026,Lenskart Solutions Ltd,793650,,LENSKART,630
BUY,EDELWEISS MUTUAL FUND,28-Aug-2026,Lenskart Solutions Ltd,793185,,LENSKART,630
BUY,GHISALLO MASTER FUND LP,28-Aug-2026,Lenskart Solutions Ltd,401900,,LENSKART,630
BUY,KOTAK MAHINDRA MUTUAL FUND,28-Aug-2026,Lenskart Solutions Ltd,409483,,LENSKART,630
BUY,KUWAIT INVESTMENT AUTHORITY,28-Aug-2026,Lenskart Solutions Ltd,340000,,LENSKART,630
BUY,MOTILAL OSWAL MUTUAL FUND,28-Aug-2026,Lenskart Solutions Ltd,793650,,LENSKART,630
BUY,NATIONAL PENSION SYSTEM (NPS) TRUST,28-Aug-2026,Lenskart Solutions Ltd,1190476,,LENSKART,630
BUY,NATIONAL PENSION SYSTEM (NPS) TRUST,28-Aug-2026,Lenskart Solutions Ltd,1904761,,LENSKART,630
BUY,NATIONAL PENSION SYSTEM (NPS) TRUST,28-Aug-2026,Lenskart Solutions Ltd,4761904,,LENSKART,630
BUY,NIPPON INDIA INVESTMENT UNIT TRUST - NIPPON INDIA EQUITY FUND,28-Aug-2026,Lenskart Solutions Ltd,100000,,LENSKART,630
BUY,NIPPON INDIA INVESTMENT UNIT TRUST - NIPPON INDIA SMALL AND MID-CAP EF,28-Aug-2026,Lenskart Solutions Ltd,14981,,LENSKART,630
BUY,PACE INTERNATIONAL EMERGING MARKETS EQUITY INVESTMENTS,28-Aug-2026,Lenskart Solutions Ltd,47664,,LENSKART,630
BUY,REDWHEEL EMERGING MARKETS EQUITY MASTER FUND LIMITED,28-Aug-2026,Lenskart Solutions Ltd,507569,,LENSKART,630
BUY,CARNELIAN ASSET MANAGEMENT & ADVISORS PRIVATE LIMITED,28-Aug-2026,S. P. Apparels Limited,500000,,SPAL,925
BUY,ARUN KUMAR PILLAI,28-Aug-2026,Strides Pharma ScienceLtd,1000000,,STAR,990
SELL,GOVERNMENT OF SINGAPORE,28-Aug-2026,Ather Energy Limited,11880000,,ATHERENERG,1480
SELL,CHISWICK INVESTMENT PTE LTD,28-Aug-2026,Genus Power Infrastru Ltd,3578450,,GENUSPOWER,324.5
SELL,ALPHA WAVE VENTURES II LP,28-Aug-2026,Lenskart Solutions Ltd,9838209,,LENSKART,630
SELL,ALPHA WAVE VENTURES II LP,28-Aug-2026,Lenskart Solutions Ltd,10419555,,LENSKART,630
SELL,ALPHA WAVE VENTURES,28-Aug-2026,Lenskart Solutions Ltd,4521048,,LENSKART,630
SELL,ALPHA WAVE VENTURES LP,28-Aug-2026,Lenskart Solutions Ltd,4693858,,LENSKART,630
SELL,SUNDARARAJAN PERUMAL MUDALIAR,28-Aug-2026,S. P. Apparels Limited,500000,,SPAL,925
SELL,SBI LIFE INSURANCE CO.LTD.,28-Aug-2026,Strides Pharma ScienceLtd,1000000,,STAR,990
