symbol,shortName,price,changePct,volume
INOD,Innodata Inc.,84.89,86.0,19130921
RKLB,Rocket Lab Corporation,105.47,34.22,76022604
FLNC,"Fluence Energy, Inc.",24.16,27.36,41238047
AKAM,"Akamai Technologies, Inc.",147.71,26.58,20819897
EOSE,"Eos Energy Enterprises, Inc.",8.01,25.94,53620575
FROG,JFrog Ltd.,70.55,23.73,9192425
FLY,Firefly Aerospace Inc.,39.68,22.62,11871946
MXL,"MaxLinear, Inc",99.83,21.2,7740398
WSC,WillScot Holdings Corporation,28.1,20.6,13309192
RDW,Redwire Corporation,11.07,20.33,53414126
